depth	term	coef	std_err	z	p_value	ci_low	ci_high	OR	OR_low	OR_high	p_adj	sig
250	C(Gene_type)[T.Pseudogene]	-0.49276994612283703	0.07690544583559965	-6.407477920045203	1.4794650440037164e-10	-0.6435018501756082	-0.34203804207006583	0.6109318001297084	0.5254491542862381	0.7103211821070037	3.550716105608919e-10	***
250	C(Gene_type)[T.lncRNA]	0.21522791549313067	0.04359221342107466	4.9373018390729095	7.921082549557076e-07	0.12978874718144076	0.30066708380482055	1.2401445129067752	1.138587828028676	1.350759576936254	1.5842165099114152e-06	***
250	C(Region)[T.3UTR]	0.36738115983432884	0.1097009048470902	3.348934635921315	0.00081122931500454	0.1523713372625766	0.5823909824060811	1.443948189290681	1.164592612781266	1.7903139264952888	0.0012168439725068101	**
250	C(Region)[T.5UTR]	0.1234297696012098	0.051363340083033414	2.403071322886607	0.016258016149541015	0.022759472912781756	0.22410006628963786	1.1313705451473137	1.023020445824302	1.25119621572721	0.021677354866054686	*
250	Intercept	21.88170480557483	1.2616625134816588	17.343548351286522	2.2068304309214207e-67	19.4088917185065	24.354517892643162	3184957574.822234	268642408.9628997	37760064736.53397		
250	Is_fast_evolving[T.True]	0.311007144398839	0.06402885277308272	4.857296842425766	1.1899912960043396e-06	0.18551289899217926	0.4365013898054987	1.36479897181952	1.2038357279426253	1.5472843929154374	2.039985078864582e-06	***
250	Is_heart_specific[T.True]	-0.0254525023020987	0.176401717855201	-0.14428715667605535	0.8852737196714218	-0.3711935161092889	0.32028851150509147	0.9748686818842369	0.6899104198596967	1.3775251388607537	0.8852737196714218	
250	z_Compactness	0.04550586865617196	0.02564547397665662	1.774421041997233	0.07599353185080045	-0.004758336704534211	0.09577007401687813	1.0465571464799834	0.9952529662447099	1.100505999978121	0.09119223822096054	
250	z_GC_content	-0.2469215149652055	0.02273726953580731	-10.859769884697297	1.792002004367438e-27	-0.29148574436216756	-0.20235728556824342	0.7812020037918251	0.7471526646648444	0.8168030438626875	7.168008017469751e-27	***
250	z_PSI_fixed	0.2409363348758855	0.01768070094111617	13.627080491791597	2.764190149478519e-42	0.20628279780987438	0.27558987194189666	1.2724400226774448	1.2291007418494337	1.3173074884611196	1.6585140896871113e-41	***
250	z_log_TPM	26.91901064485164	1.7022229132431357	15.81403377631933	2.4900044581210243e-56	23.582715041236245	30.255306248467033	490656753967.7345	17451911850.66749	13794709271634.68	2.988005349745229e-55	***
250	z_log_gene_length	-0.2026697690311728	0.030385100738423085	-6.670037752249061	2.5573763084439853e-11	-0.26222347214510344	-0.14311606591724213	0.8165478462935968	0.7693390786416091	0.8666534741273842	7.672128925331956e-11	***
